page,url,creation_date,author,title,keywords,verdict
29,https://www.reuters.com/article/factcheck-father-son-heart/fact-check-actors-monologue-about-father-giving-up-his-heart-for-his-son-taken-seriously-idUSL1N33915P,2022-12-19 15:25:15,Reuters Fact Check,Fact Check-Actor’s monologue about father giving up his heart for his son taken seriously,"FACTCHECK,FATHER/SON,HEART",Missing context
29,https://www.reuters.com/article/factcheck-georgia-run-off-walker/fact-check-shifting-figures-in-georgia-runoff-race-caused-by-human-error-not-fraud-idUSL1N3361OH,2022-12-16 17:37:26,Reuters Fact Check,"Fact Check-Shifting figures in Georgia runoff race caused by human error, not fraud","FACTCHECK,GEORGIA RUN OFF/WALKER",Missing context
29,https://www.reuters.com/article/factcheck-pfizer-ceo-resignation/fact-check-pfizer-ceo-is-not-resigning-and-did-not-say-mrna-vaccines-dont-work-idUSL1N3331TF,2022-12-16 17:29:00,Reuters Fact Check,Fact Check-Pfizer CEO is not resigning and did not say mRNA vaccines 'don’t work',"FACTCHECK,PFIZER/CEO,RESIGNATION",FALSE
29,https://www.reuters.com/article/factcheck-britain-language/fact-check-cambridge-dictionary-expanded-not-replaced-its-definition-of-woman-idUSL1N3340MP,2022-12-16 17:09:50,Reuters Fact Check,"Fact Check-Cambridge Dictionary expanded, not replaced its definition of “woman”","FACTCHECK,BRITAIN/LANGUAGE",Missing context
30,https://www.reuters.com/article/factcheck-wef-climate/fact-check-wef-did-not-issue-guidance-to-slaughter-millions-of-pets-to-curb-climate-change-idUSL1N3361L6,2022-12-16 17:03:09,Reuters Fact Check,Fact Check-WEF did not issue guidance to slaughter millions of pets to curb climate change,"FACTCHECK,WEF/CLIMATE,Environment,General News",FALSE
30,https://www.reuters.com/article/factcheck-ultrasounds-safety-pregnancy/fact-check-there-is-no-proof-ultrasounds-harm-babies-or-mothers-idUSL1N3361AO,2022-12-16 15:03:21,Reuters Fact Check,Fact Check-There is no proof ultrasounds harm babies or mothers,"FACTCHECK,ULTRASOUNDS/SAFETY,PREGNANCY",No evidence
30,https://www.reuters.com/article/factcheck-er-covid-vaccines/fact-check-new-er-blood-group-is-not-proof-covid-19-vaccines-alter-dna-idUSL1N33615Y,2022-12-16 14:35:01,Reuters Fact Check,Fact Check-New ‘Er’ blood group is not proof COVID-19 vaccines alter DNA,"FACTCHECK,ER/COVID,VACCINES",FALSE
30,https://www.reuters.com/article/factcheck-porter-quote/fact-check-u-s-rep-katie-porter-did-not-say-pedophilia-was-an-identity-idUSL1N33613P,2022-12-16 14:22:35,Reuters Fact Check,Fact Check-U.S. Rep. Katie Porter did not say pedophilia was an ‘identity’,"FACTCHECK,PORTER/QUOTE",FALSE
30,https://www.reuters.com/article/factcheck-zelenskiy-people-magazine/fact-check-fabricated-sexiest-man-alive-people-magazine-cover-featuring-ukraines-zelenskiy-idUSL1N33524F,2022-12-15 17:26:01,Reuters Fact Check,Fact Check-Fabricated ‘Sexiest Man Alive’ People magazine cover featuring Ukraine’s Zelenskiy,"FACTCHECK,ZELENSKIY/PEOPLE MAGAZINE",Satire
30,https://www.reuters.com/article/factcheck-catastrophic-contagion/fact-check-catastrophic-contagion-video-is-fictional-and-does-not-support-claims-about-pandemic-preparedness-exercises-idUSL1N3351YU,2022-12-15 16:31:43,Reuters Fact Check,Fact Check-‘Catastrophic Contagion’ video is fictional and does not support claims about pandemic preparedness exercises,"FACTCHECK,CATASTROPHIC/CONTAGION",No evidence
30,https://www.reuters.com/article/factcheck-mona-lisa-moon/fact-check-no-evidence-of-human-remains-dubbed-mona-lisa-found-on-the-moon-idUSL1N3351X5,2022-12-15 16:15:46,Reuters Fact Check,Fact Check-No evidence of human remains dubbed ‘Mona Lisa’ found on the moon,"FACTCHECK,MONA/LISA,MOON",FALSE
30,https://www.reuters.com/article/factcheck-dubai-meteorites/fact-check-meteor-like-flares-seen-over-dubai-night-sky-were-skydivers-not-meteoroids-or-asteroids-idUSL1N3350SN,2022-12-15 11:27:57,Reuters Fact Check,"Fact Check-Meteor-like flares seen over Dubai night sky were skydivers, not meteoroids or asteroids ","FACTCHECK,DUBAI/METEORITES",Miscaptioned
30,https://www.reuters.com/article/factcheck-elon-musk-guardian/fact-check-screenshot-shows-fabricated-guardian-tweet-on-a-leaked-audio-featuring-elon-musk-idUSL1N3350RU,2022-12-15 11:12:09,Reuters Fact Check,Fact Check-Screenshot shows fabricated Guardian tweet on a ‘leaked audio’ featuring Elon Musk,"FACTCHECK,ELON MUSK/GUARDIAN",FALSE
30,https://www.reuters.com/article/factcheck-duane-chapman-death-hoax/fact-check-false-social-media-posts-about-duane-dog-the-bounty-hunter-chapman-idUSL1N33430S,2022-12-14 21:52:32,Reuters Fact Check,Fact Check-False social media posts about Duane “Dog the Bounty Hunter” Chapman,"FACTCHECK,DUANE CHAPMAN/DEATH HOAX",FALSE
31,https://www.reuters.com/article/factcheck-welfare-drug-testing/fact-check-inaccuracies-in-claims-florida-kentucky-and-missouri-all-require-drug-testing-for-welfare-recipients-idUSL1N33429I,2022-12-14 19:46:13,Reuters Fact Check,"Fact Check-Inaccuracies in claims Florida, Kentucky and Missouri all require drug testing for welfare recipients ","FACTCHECK,WELFARE/DRUG,TESTING",Partly false
31,https://www.reuters.com/article/factcheck-prince-harry-lilibet/fact-check-altered-photo-does-not-show-prince-harry-with-lilibet-idUSL1N3341NA,2022-12-14 17:10:55,Reuters Fact Check,Fact Check-Altered photo does not show Prince Harry with Lilibet,"FACTCHECK,PRINCE HARRY/LILIBET",Altered
31,https://www.reuters.com/article/factcheck-brazil-election-fraud/fact-check-online-claims-that-brazilian-military-is-executing-officials-due-to-stolen-presidential-election-are-false-idUSL1N3341MJ,2022-12-14 17:04:50,Reuters Fact Check,Fact Check-Online claims that Brazilian military is executing officials due to ‘stolen’ presidential election are false,"FACTCHECK,BRAZIL ELECTION/FRAUD,Crime / Law / Justice,Crime,White Collar Crime / Fraud / Corporate Crime,General News,Financial Fraud / Securities Fraud",FALSE
31,https://www.reuters.com/article/factcheck-bolsonaro-fraud/fact-check-bolsonaro-did-not-annul-brazils-election-and-the-military-did-not-find-evidence-of-fraud-idUSL1N3341F4,2022-12-14 15:54:27,Reuters Fact Check,Fact Check-Bolsonaro did not ‘annul’ Brazil’s election and the military did not find evidence of ‘fraud’,"FACTCHECK,BOLSONARO/FRAUD,Crime / Law / Justice,Crime,White Collar Crime / Fraud / Corporate Crime,General News,Financial Fraud / Securities Fraud",FALSE
31,https://www.reuters.com/article/factcheck-meta-elon-musk/fact-check-digitally-altered-clip-shows-elon-musk-saying-that-he-intends-to-buy-meta-idUSL1N3340T4,2022-12-14 12:16:42,Reuters Fact Check,Fact Check-Digitally altered clip shows Elon Musk saying that he intends to buy Meta,"FACTCHECK,META/ELON MUSK",Altered
31,https://www.reuters.com/article/factcheck-turbocancer-vaccine/fact-check-no-evidence-covid-19-vaccines-cause-turbo-cancer-idUSL1N3340PQ,2022-12-14 11:30:26,Reuters Fact Check,Fact Check-No evidence COVID-19 vaccines cause ‘turbo cancer’,"FACTCHECK,TURBOCANCER/VACCINE,General News,Health / Medicine",FALSE
31,https://www.reuters.com/article/factcheck-health-vaccine/fact-check-no-evidence-group-a-strep-present-in-flu-vaccine-given-to-children-idUSL1N3340N5,2022-12-14 10:46:00,Reuters Fact Check,Fact Check-No evidence group A strep present in flu vaccine given to children,"FACTCHECK,HEALTH/VACCINE",No evidence
31,https://www.reuters.com/article/factcheck-tweets-hallie-biden/fact-check-hallie-biden-did-not-say-that-2020-election-results-were-rigged-idUSL1N3332BV,2022-12-13 20:21:00,Reuters Fact Check,Fact Check-Hallie Biden did not say that 2020 election results were rigged,"FACTCHECK,TWEETS/HALLIE,BIDEN",FALSE
31,https://www.reuters.com/article/factcheck-conference-sinema-trump/fact-check-digitally-altered-video-of-kyrsten-sinema-with-donald-trump-at-campaign-rally-idUSL1N33323E,2022-12-13 19:00:18,Reuters Fact Check,Fact Check-Digitally altered video of Kyrsten Sinema with Donald Trump at campaign rally,"FACTCHECK,CONFERENCE/SINEMA,TRUMP",Altered
31,https://www.reuters.com/article/factcheck-supreme-court-cancel-universal/fact-check-no-evidence-u-s-supreme-court-ruled-covid-19-vaccine-unsafe-or-canceled-universal-vax-idUSL1N3331YA,2022-12-13 17:53:52,Reuters Fact Check,Fact Check-No evidence U.S. Supreme Court ruled COVID-19 vaccine unsafe or ‘canceled universal vax’,"FACTCHECK,SUPREME COURT/CANCEL,UNIVERSAL VAX",No evidence
32,https://www.reuters.com/article/factcheck-celine-syndrome/fact-check-following-celine-dions-diagnosis-experts-say-no-evidence-tying-covid-19-vaccines-to-stiff-person-syndrome-idUSL1N3331WP,2022-12-13 17:38:12,Reuters Fact Check,"Fact Check-Following Celine Dion’s diagnosis, experts say no evidence tying COVID-19 vaccines to Stiff Person Syndrome","FACTCHECK,CELINE/SYNDROME",No evidence
32,https://www.reuters.com/article/factcheck-avalanche-father/fact-check-video-of-father-deserting-wife-and-children-to-save-himself-from-avalanche-is-scene-from-comedy-film-idUSL1N3331PP,2022-12-13 16:34:05,Reuters Fact Check,Fact Check-Video of father deserting wife and children to save himself from avalanche is scene from comedy film,"FACTCHECK,AVALANCHE/FATHER",Miscaptioned
32,https://www.reuters.com/article/factcheck-oxford-climate/fact-check-oxfordshire-county-council-to-trial-congestion-reducing-traffic-filters-not-a-climate-lockdown-that-stops-residents-leaving-neighbourhoods-idUSL1N3331OK,2022-12-13 16:19:28,Reuters Fact Check,"Fact Check-Oxfordshire County Council to trial congestion-reducing traffic filters, not a ‘climate lockdown’ that stops residents leaving neighbourhoods","FACTCHECK,OXFORD/CLIMATE",Misrepresentation
32,https://www.reuters.com/article/factcheck-operation-switzerland-arrest/fact-check-officials-deny-existence-of-any-u-s-special-forces-operation-to-arrest-switzerland-elites-idUSL1N3331L7,2022-12-13 15:47:03,Reuters Fact Check,Fact Check-Officials deny existence of any U.S. ‘Special Forces’ operation to arrest Switzerland elites,"FACTCHECK,OPERATION/SWITZERLAND,ARREST",No evidence
32,https://www.reuters.com/article/factcheck-brittney-griner-fox-news/fact-check-digitally-altered-screenshot-of-brittney-griner-from-fox-news-report-shared-online-idUSL1N3330WC,2022-12-13 12:35:47,Reuters Fact Check,Fact Check-Digitally altered screenshot of Brittney Griner from Fox News report shared online,"FACTCHECK,BRITTNEY GRINER/FOX NEWS",Altered
32,https://www.reuters.com/article/factcheck-britain-royals/fact-check-photo-of-meghan-with-princess-diana-memorabilia-not-genuine-idUSL1N3330RS,2022-12-13 11:51:36,Reuters Fact Check,Fact Check-Photo of Meghan with Princess Diana memorabilia not genuine,"FACTCHECK,BRITAIN/ROYALS",Doctored
32,https://www.reuters.com/article/fact-check-viral-video-promotes-baseless/fact-check-viral-video-promotes-baseless-vaccine-depopulation-theory-idUSL1N32Y1SI,2022-12-13 11:01:35,Reuters Fact Check,Fact Check-Viral video promotes baseless vaccine depopulation theory,"Fact Check,Viral video promotes baseless vaccine depopulation th",FALSE
32,https://www.reuters.com/article/factcheck-jill-biden-lobsteroutfit/fact-check-image-of-first-lady-jill-biden-with-lobster-patterned-clothing-is-digitally-altered-idUSL1N32V1S0,2022-12-12 17:37:13,Reuters Fact Check,Fact Check-Image of First Lady Jill Biden with lobster-patterned clothing is digitally altered,"FACTCHECK,JILL BIDEN/LOBSTEROUTFIT",Altered
32,https://www.reuters.com/article/factcheck-stock-photo-hit-and-run/fact-check-stock-photo-of-a-hospital-patient-shared-in-facebook-community-groups-labeled-as-victim-of-hit-and-run-accident-idUSL1N3321CN,2022-12-12 16:49:20,Reuters Fact Check,Fact Check-Stock photo of a hospital patient shared in Facebook community groups labeled as victim of hit and run accident,"FACTCHECK,STOCK PHOTO/HIT AND RUN",FALSE
32,https://www.reuters.com/article/factcheck-wicklow-fight/fact-check-video-of-people-fighting-on-street-in-wicklow-ireland-involves-two-groups-of-local-youths-not-refugees-or-asylum-seekers-idUSL1N3320JY,2022-12-12 11:18:29,Reuters Fact Check,"Fact Check-Video of people fighting on street in Wicklow, Ireland, involves two groups of local youths, not refugees or asylum seekers ","FACTCHECK,WICKLOW/FIGHT",Misrepresented
33,https://www.reuters.com/article/factcheck-hancock-book/fact-check-photo-of-matt-hancock-smiling-and-holding-book-titled-how-to-get-away-with-murder-is-digitally-altered-idUSL1N3320JG,2022-12-12 11:05:58,Reuters Fact Check,Fact Check-Photo of Matt Hancock smiling and holding book titled ‘How To Get Away With Murder’ is digitally altered,"FACTCHECK,HANCOCK/BOOK",Digitally altered
33,https://www.reuters.com/article/factcheck-biden-altered-banner/fact-check-image-of-texas-college-football-banner-altered-to-add-anti-biden-slogan-idUSL1N32Z28X,2022-12-09 20:40:37,Reuters Fact Check,Fact Check-Image of Texas college football banner altered to add anti-Biden slogan,"FACTCHECK,BIDEN/ALTERED,BANNER",Altered
33,https://www.reuters.com/article/factcheck-espn-griner-image/fact-check-espn-did-not-mistakenly-publish-image-of-larry-fitzgerald-in-article-on-brittney-griner-release-idUSL1N32Z246,2022-12-09 20:20:28,Reuters Fact Check,Fact Check-ESPN did not mistakenly publish image of Larry Fitzgerald in article on Brittney Griner release,"FACTCHECK,ESPN/GRINER,IMAGE",Altered
33,https://www.reuters.com/article/factcheck-indonesian-quake/fact-check-2018-footage-of-indonesian-earthquake-shared-as-if-new-idUSL1N32Z1ER,2022-12-09 15:26:57,Reuters Fact Check,Fact Check-2018 footage of Indonesian earthquake shared as if new,"FACTCHECK,INDONESIAN/QUAKE,Disasters / Accidents,General News,Earthquakes",Missing context
33,https://www.reuters.com/article/factcheck-pepto-bismol-covid/fact-check-pepto-bismol-not-a-proven-treatment-for-covid-19-idUSL1N32Z1DD,2022-12-09 15:17:36,Reuters Fact Check,Fact Check-Pepto-Bismol not a proven treatment for COVID-19,"FACTCHECK,PEPTO/BISMOL,COVID",No evidence
33,https://www.reuters.com/article/factcheck-facebook-arizona-voters/fact-check-facebook-tally-of-total-registered-voters-in-the-u-s-once-again-misinterpreted-as-number-of-voters-in-arizona-alone-idUSL1N32Y1IN,2022-12-08 15:45:24,Reuters Fact Check,Fact Check-Facebook tally of total registered voters in the U.S. once again misinterpreted as number of voters in Arizona alone,"FACTCHECK,FACEBOOK/ARIZONA,VOTERS",Misleading
33,https://www.reuters.com/article/factcheck-vaccine-covid-news/fact-check-a-video-of-news-headlines-over-time-is-not-proof-covid-19-vaccines-are-ineffective-or-a-scam-idUSL1N32Y1HK,2022-12-08 15:33:03,Reuters Fact Check,Fact Check-A video of news headlines over time is not proof COVID-19 vaccines are ineffective or a ‘scam’,"FACTCHECK,VACCINE/COVID,NEWS",Misleading
33,https://www.reuters.com/article/factcheck-neuralink-fabricated-headline/fact-check-usa-today-headline-saying-musk-company-killed-3000-monkeys-is-not-real-idUSL1N32Y1GG,2022-12-08 15:25:16,Reuters Fact Check,"Fact Check-USA Today headline saying Musk company killed 3,000 monkeys is not real ","FACTCHECK,NEURALINK/FABRICATED,HEADLINE",Altered
33,https://www.reuters.com/article/factcheck-health-media/fact-check-rod-stewarts-son-had-panic-attack-not-heart-attack-according-to-interview-idUSL1N32Y15V,2022-12-08 13:58:35,Reuters Fact Check,"Fact Check-Rod Stewart’s son had panic attack, not heart attack, according to interview ","FACTCHECK,HEALTH/MEDIA",Misleading
33,https://www.reuters.com/article/factcheck-hero-murder-pedophile/fact-check-fabricated-story-about-a-local-hero-arrested-after-murder-spree-taken-seriously-idUSL1N32X2UY,2022-12-07 21:15:01,Reuters Fact Check,Fact Check-Fabricated story about a local hero arrested after murder spree taken seriously,"FACTCHECK,HERO/MURDER,PEDOPHILE",FALSE
34,https://www.reuters.com/article/factcheck-clothing-hm/fact-check-hm-says-christmas-poster-welcoming-men-in-female-spaces-is-not-real-idUSL1N32X21J,2022-12-07 18:17:56,Reuters Fact Check,Fact Check-H&M says Christmas poster welcoming ‘men in female spaces’ is not real,"FACTCHECK,CLOTHING/HM",Altered
34,https://www.reuters.com/article/factcheck-flint-vaccine/fact-check-country-singer-jake-flints-death-not-caused-by-covid-vaccine-idUSL1N32W1MV,2022-12-07 17:46:47,Reuters Fact Check,Fact Check-Country singer Jake Flint’s death not caused by COVID vaccine,"FACTCHECK,FLINT/VACCINE",FALSE
34,https://www.reuters.com/article/factcheck-artemis-space/fact-check-stars-not-routinely-visible-in-photographs-taken-from-spacecraft-due-to-light-exposure-on-earth-and-moon-idUSL1N32X1XR,2022-12-07 17:40:23,Reuters Fact Check,Fact Check-Stars not routinely visible in photographs taken from spacecraft due to light exposure on Earth and Moon,"FACTCHECK,ARTEMIS/SPACE",Missing context
34,https://www.reuters.com/article/factcheck-starbucks-krampus/fact-check-red-krampus-design-coffee-cup-created-by-tattoo-artist-not-starbucks-in-2015-idUSL1N32X1HY,2022-12-07 15:16:01,Reuters Fact Check,"Fact Check-Red Krampus-design coffee cup created by tattoo artist, not Starbucks, in 2015","FACTCHECK,STARBUCKS/KRAMPUS",Missing context
